1,Solan og Ludvig: Jul i Flåklypa and Susannah,Pickin Golda
2,Attack of the Killer Tomatoes! and Eartha,Giorgiutti Cleon
3,Four Men and a Prayer and Lauretta,Galfour Judd
4,"Loser Takes All, The (O hamenos ta pairnei ola) and Val",Taye Carr
5,"Poker Club, The and Daryl",Linnock Leonhard
6,Twelfth Night and Marianna,Walcot Juliann
7,"Greatest, The and Dierdre",Spurnier Kirstin
8,Cain and Mabel and Cassaundra,McBeth Celestina
9,"Innkeepers, The and Padraig",Howford Mara
10,Six Days and Sella,Cornell Elena
11,Badman's Country and Abdul,Barton Davie
12,"See You in Hell, My Darling (Tha se do stin Kolasi, agapi mou) and Giorgio",Bigglestone Lukas
13,I Met Him in Paris and Berget,Phillcock Niles
14,13 Tzameti and Winfred,Stokey Zollie
15,Seeking Asian Female and Chrystel,Dumingo Sid
16,"Watch, The and Kathrine",Welbrock Lemmie
17,Full Moon High and Stepha,Nias Perrine
18,Losers' Club (Kaybedenler kulübü) and Kiersten,Dumbellow Van
19,"300 Spartans, The and Rudolfo",Venus Dillon
20,Hurlyburly and Ev,Constance Munroe
21,"Silent Scream, The and Adella",Cavill Michal
22,Dark Night of the Scarecrow and Lindsey,Neilly Scott
23,"American Dream, An and Leonhard",Duigenan Boyce
24,"Killing of America, The and Mabel",Gillimgham Jean
25,One Spy Too Many and Felipe,Imason Angel
26,"Pink Panther 2, The and Kim",Montague Ibbie
27,3 Women (Three Women) and Dolph,Gatman Jone
28,"Storm Warriors, The (Fung wan II) and Patrice",Cuningham Hobard
29,"Adventures of Mark Twain, The and Stormie",Kevern Lancelot
30,"Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) and Mabel",Aspel Lacie
31,"Incredible Journey, The and Beck",Leonardi Claybourne
32,Light Is Calling and Ray,Ivimey Abran
33,Berlin Is in Germany and Dallis,Geill Bordie
34,A Night in the Show and Dicky,Chastang Byran
35,Curse of the Ring (Ring of the Nibelungs) and Pris,Eary Floria
36,Birthday Girl and Clemmie,Rodliff Olivia
37,Red 2 and Frederique,Bugdale Heidi
38,Tales of the Grim Sleeper and Sheba,Besant Connor
39,Port of Shadows (Quai des brumes) and Isabelle,Jansen Roana
40,Children of a Lesser God and Miranda,Vanner Sean
41,The Girls and Johannes,Bresnen Retha
42,Company of Heroes and Lora,Kingerby Nathalie
43,Chronicle of an Escape (Crónica de una fuga) and Sid,Shepard Jeremie
44,"Saratov Approach, The and Bria",Aspel Ellette
45,Death by Hanging (Koshikei) and Milo,Clethro Giffard
46,The Bone Snatcher and Lenka,Sigert Ignazio
47,Light the Fuse... Sartana Is Coming and Cosetta,MacSporran Rosanne
48,SherryBaby and Stormy,Mateiko Jean
49,Flaming Creatures and Daphne,Beardsdale Giordano
50,Free The Mind and Carlos,Wightman Menard
51,Lupin III: Sweet Lost Night (Rupan Sansei: Sweet Lost Night) and Torrance,Meaney Muire
52,Gotcha! and Dame,Galloway Betti
53,"Take Her, She's Mine and Goldie",Fulle Elwyn
54,Garden State and Stirling,Churms Fonz
55,"Miracle of Bern, The (Wunder von Bern, Das) and Robb",Dielhenn Joleen
56,Mississippi Grind and Elva,Gimenez Domini
57,"Big Street, The and Blakeley",Vedeneev Monty
58,"Tempest, The and Patrice",Burgisi Mara
59,When a Man Loves a Woman and Lukas,Cuncliffe Dyana
60,"Best Exotic Marigold Hotel, The and Kacie",Dowty Cathie
61,Emitai and Eartha,Bridgement Itch
62,Murder on the Orient Express and Angel,Ouldcott Lamont
63,Double Wedding and Daryl,Keeting Maible
64,Shadowboxer and Carr,Breffit Jessamyn
65,Patriotism (Yûkoku) and Edith,Auchterlony Elwyn
66,"Experiment, The and Tiffanie",Kebell Jacquie
67,Sex and the Single Girl and Tessie,Cordelle Rosanne
68,"Rare Breed, The and Wilone",Bridgement Jonathan
69,Hum Aapke Hain Koun...! and Melony,Maccraw Gerald
70,Joan Rivers: A Piece of Work and Olav,Tomlins Christie
71,"Prisoner of Zenda, The and Merilyn",Pantin Saw
72,Love in Another Language (Baska Dilde Ask) and Leisha,Raund Roarke
73,Four Eyed Monsters and Franzen,Buist William
74,Buddy Boy and Magdalen,Chaunce Reyna
75,Tis kakomoiras and Shirl,Gerardot Debora
76,"Queen Margot (Reine Margot, La) and Justus",MacGuffog Lemmie
77,Smokey and the Bandit II and Loria,Mateiko Mavra
78,"Uninvited, The and Justin",Thewless Francklyn
79,"White Sun of the Desert, The (Beloe solntse pustyni) and Hobard",Bending Torrance
80,Nomads and Domini,Stovine Carmella
81,Being There and Wade,Muxworthy Liane
82,Cloak & Dagger and Dana,Danes Howey
83,From the East (D'Est) and Lyon,Pennetta Pembroke
84,Just love me (Tylko mnie kochaj) and Agatha,Everington Thorin
85,"Horror Hotel (a.k.a. City of the Dead, The) and Nehemiah",Riping Adriane
86,Fairhaven and Patrice,Strangeways Carolynn
87,"View from the Top, A and Morgan",Bessell Prudy
88,More Than a Game and Mavra,Gilliam Farr
89,"Tall T, The and Nathalie",Roocroft Tobit
90,Cruel Intentions 2 (Cruel Intentions 2: Manchester Prep) and Mannie,Ricardet Evvy
